,daily,3m flow $b,price
2011-07-25,1.731736867320737,11.230769958801357,1148.18
2011-07-26,16.485040057376654,11.174140380534759,1156.56
2011-07-27,53.46051954931374,11.15865167438398,1148.99
2011-07-28,-10.44916116232535,10.936982156936626,1145.4
2011-07-29,-1683.9953631819094,6.160570321545012,1137.73
2011-08-01,41.48837004778187,6.11236685119679,1147.6
2011-08-02,82.6489490470375,6.025483002769223,1126.97
2011-08-03,91.09856718346386,5.996074462652679,1102.59
2011-08-04,8.509206033965134,5.983152964386772,1073.02
2011-08-05,-127.21937244690251,5.732532130792864,1041.07
2011-08-08,-61.25943007523863,5.828666513272061,990.18
2011-08-09,-229.40726113261988,5.545034456175831,968.51
2011-08-10,96.54968980676351,5.593820822731542,980.74
2011-08-11,90.90851760471845,5.663867955121916,989.95
2011-08-12,38.891657254885764,5.540550981656977,989.74
2011-08-15,81.64984371190295,5.610698571497924,1013.41
2011-08-16,80.58418507444911,5.833822551312903,1018.64
2011-08-17,225.44620399785205,5.988026781206288,1024.45
2011-08-18,47.16119506061818,6.022477416362202,995.44
2011-08-19,150.72565561494224,6.150882885484889,970.16
2011-08-22,32.192041392786614,6.321854997392643,966.06
2011-08-23,-130.71920032870673,6.200356124517706,985.8
2011-08-24,143.56941395730075,6.3104338995477764,978.21
2011-08-25,60.99582516843147,6.245410727852906,973.05
2011-08-26,-35.45872678965295,6.198745543877078,975.92
2011-08-29,132.76129428265708,6.259180530351813,1004.57
2011-08-30,5.746111162401519,4.7282553550987005,1013.68
2011-08-31,102.29501168206905,4.625832343645307,1033.15
2011-09-01,186.15773568002018,4.746038063944093,1038.0
2011-09-02,117.1112019290688,4.88690052103539,1021.88
2011-09-05,7.257275728831861,4.8336955576390475,989.59
2011-09-06,178.30593084727167,4.83767605870706,988.05
2011-09-07,53.06404424625674,4.769662334302768,1009.75
2011-09-08,108.28305151377911,4.304261231880323,1013.53
2011-09-09,202.9236539633098,3.574678257540689,992.31
2011-09-12,38.66648542526546,3.60778657818745,969.97
2011-09-13,61.027122837395694,3.667499434512172,964.43
2011-09-14,53.41496197641164,3.6196528663138867,952.55
2011-09-15,17.248947246628074,3.6603233008522498,963.72
2011-09-16,145.50992555088655,3.8125004769192485,976.84
2011-09-19,59.64522356823229,3.8224387651000127,949.39
2011-09-20,55.585356110210135,3.9276897961030346,951.15
2011-09-21,52.815695557566784,3.864134451392966,940.02
2011-09-22,143.85933847688622,3.9729706485526823,880.64
2011-09-23,78.78858083711414,4.004891018418497,861.53
2011-09-26,61.93336461847492,4.022259940991547,851.51
2011-09-27,-34.15280653258466,3.956604358922516,893.47
2011-09-28,-122.71061613196933,3.699309416997053,891.05
2011-09-29,-92.76634450625353,1.4592839349033306,894.48
