date,price,holdings in troy ounce
2011-12-12,1666.49,75191294.65
2011-12-13,1631.5,75193556.16
2011-12-14,1573.9,75186753.91
2011-12-15,1570.52,74756581.97
2011-12-16,1598.95,74719869.06
2011-12-19,1594.35,74651199.45
2011-12-20,1615.69,74584774.72
2011-12-21,1615.17,74148517.17
2011-12-22,1606.07,73866811.01
2011-12-23,1606.88,73664864.98
2011-12-26,1607.25,73870830.55
2011-12-27,1592.95,73842260.31
2011-12-28,1556.8,74034177.79
2011-12-29,1545.65,74056749.87
2011-12-30,1564.91,74092277.69
2012-01-02,1566.37,74092277.69
2012-01-03,1603.95,73867098.78
2012-01-04,1611.95,74046915.91
2012-01-05,1622.71,73744298.46
2012-01-06,1617.08,73739760.77
2012-01-09,1611.15,73580026.78
2012-01-10,1632.33,73763873.68
2012-01-11,1641.99,74120632.09
2012-01-12,1649.99,74114294.5
2012-01-13,1638.92,74165476.04
2012-01-16,1643.88,74173142.24
2012-01-17,1652.38,74232652.52
2012-01-18,1659.84,74045690.03
2012-01-19,1658.5,74062984.29
2012-01-20,1666.6,74056686.2
2012-01-23,1676.85,74056679.77
2012-01-24,1665.25,73860525.98
2012-01-25,1710.8,74144707.87
2012-01-26,1720.08,74196651.39
2012-01-27,1738.95,74593520.78
2012-01-30,1729.85,74569914.38
2012-01-31,1737.76,74472132.93
2012-02-01,1743.53,74613304.05
2012-02-02,1759.55,74889678.1
2012-02-03,1726.33,74917411.96
2012-02-06,1720.25,74915516.92
2012-02-07,1745.45,74915682.12
2012-02-08,1733.13,74923392.68
2012-02-09,1729.54,74994238.57
2012-02-10,1721.85,74988020.28
2012-02-13,1722.25,75058893.44
2012-02-14,1720.23,75080278.77
2012-02-15,1728.18,74973941.29
2012-02-16,1728.25,75047834.88
2012-02-17,1723.49,75014497.77
2012-02-20,1734.93,75014491.1
2012-02-21,1759.25,75051812.54
2012-02-22,1776.3,75066074.85
2012-02-23,1780.78,75089465.69
2012-02-24,1772.35,75251343.69
2012-02-27,1767.65,75291833.73
2012-02-28,1784.25,75163863.17
2012-02-29,1696.76,75512665.82
2012-03-01,1718.25,75542572.44
2012-03-02,1712.45,75575810.37
2012-03-05,1706.32,75598203.6
2012-03-06,1674.38,75611361.42
2012-03-07,1684.91,75634125.97
2012-03-08,1699.85,75632012.43
2012-03-09,1713.85,75678179.03
2012-03-12,1701.34,75697140.89
2012-03-13,1674.03,75735882.48
2012-03-14,1644.79,75714964.8
2012-03-15,1658.66,75719146.17
2012-03-16,1659.98,75729072.23
2012-03-19,1664.5,75540713.88
2012-03-20,1650.86,75290526.48
2012-03-21,1650.55,75459117.58
2012-03-22,1645.91,75108960.25
2012-03-23,1661.7,75063685.54
2012-03-26,1690.18,75223520.13
2012-03-27,1680.75,75187722.42
2012-03-28,1663.55,75066575.73
2012-03-29,1661.57,75317300.61
2012-03-30,1668.15,75652245.85
2012-04-02,1677.75,75652240.58
2012-04-03,1645.85,75652238.14
2012-04-04,1620.55,75707955.59
2012-04-05,1631.15,75665409.13
2012-04-06,1640.3,75686431.21
2012-04-09,1640.26,75686425.2
2012-04-10,1659.93,75649527.36
2012-04-11,1658.98,75626117.12
2012-04-12,1675.78,75627307.17
2012-04-13,1658.38,75652833.77
2012-04-16,1652.01,75607594.21
2012-04-17,1649.59,75570952.18
2012-04-18,1642.24,75571438.97
2012-04-19,1642.82,75574956.72
2012-04-20,1643.05,75583018.82
2012-04-23,1638.84,75576396.37
2012-04-24,1642.25,75459057.68
2012-04-25,1643.72,75434904.55
2012-04-26,1657.35,75430526.58
2012-04-27,1662.85,75457044.41
2012-04-30,1664.75,75133337.13
2012-05-01,1662.4,75168850.06
2012-05-02,1653.45,75152056.25
2012-05-03,1636.05,75007137.13
2012-05-04,1642.35,75000209.13
2012-05-07,1638.45,75196621.22
2012-05-08,1605.4,75196579.39
2012-05-09,1589.55,75183247.92
2012-05-10,1594.01,75205445.62
2012-05-11,1579.35,75227579.35
2012-05-14,1556.73,75197141.32
2012-05-15,1544.1,75098065.97
2012-05-16,1539.75,75067959.4
2012-05-17,1574.14,75175286.4
2012-05-18,1593.03,75236636.16
2012-05-21,1593.33,75331660.4
2012-05-22,1568.5,75248138.14
2012-05-23,1561.53,74723383.85
2012-05-24,1559.3,74910485.85
2012-05-25,1573.0,74918603.48
2012-05-28,1573.33,74918598.6
2012-05-29,1555.34,74863372.37
2012-05-30,1562.93,74831648.85
2012-05-31,1560.51,74432059.6
2012-06-01,1624.0,74573263.8
2012-06-04,1619.0,74567266.91
2012-06-05,1617.05,74592424.67
2012-06-06,1619.55,74621543.28
2012-06-07,1589.32,74661621.27
2012-06-08,1593.4,74683081.41
2012-06-11,1596.8,74846215.2
2012-06-12,1609.71,74945540.39
2012-06-13,1617.16,75013427.08
2012-06-14,1623.6,75112537.06
2012-06-15,1627.1,75166574.72
2012-06-18,1628.09,75363640.68
2012-06-19,1618.39,75413742.68
2012-06-20,1607.5,75541843.78
2012-06-21,1566.37,75550489.23
2012-06-22,1572.43,75639166.24
2012-06-25,1584.38,75680183.84
2012-06-26,1572.86,75668878.0
2012-06-27,1574.19,75667786.92
2012-06-28,1552.68,75672288.63
2012-06-29,1597.45,75694750.21
2012-07-02,1597.01,75694744.75
2012-07-03,1617.45,75843598.9
2012-07-04,1615.65,75844217.54
2012-07-05,1604.58,75882431.08
2012-07-06,1583.85,75851644.62
2012-07-09,1587.65,75739228.79
2012-07-10,1567.15,75604938.6
2012-07-11,1576.38,75604935.79
2012-07-12,1571.73,75658325.7
2012-07-13,1589.6,75716771.42
2012-07-16,1589.4,75400933.25
2012-07-17,1583.41,75604923.17
2012-07-18,1573.45,75604920.09
2012-07-19,1581.54,75584477.74
2012-07-20,1584.53,75290987.36
2012-07-23,1576.75,75290979.83
2012-07-24,1581.18,75218810.08
2012-07-25,1603.85,75310728.01
2012-07-26,1615.85,75317013.77
2012-07-27,1623.2,75241396.33
2012-07-30,1621.96,75148677.58
2012-07-31,1614.58,75302467.25
2012-08-01,1599.58,75329255.74
2012-08-02,1588.05,75361741.09
2012-08-03,1603.55,75476178.28
2012-08-06,1610.68,75562819.9
2012-08-07,1612.35,75562817.97
2012-08-08,1612.55,75827879.62
2012-08-09,1617.18,75852877.42
2012-08-10,1620.15,76007795.09
2012-08-13,1609.75,75971188.4
2012-08-14,1599.05,75968610.07
2012-08-15,1603.1,75980767.36
2012-08-16,1615.13,75987965.77
2012-08-17,1616.4,76521956.05
2012-08-20,1620.5,76298981.25
2012-08-21,1637.8,76656483.13
2012-08-22,1654.5,76809793.56
2012-08-23,1670.53,76964783.66
2012-08-24,1670.5,77014669.33
2012-08-27,1663.97,77111007.32
2012-08-28,1666.75,77282844.17
2012-08-29,1656.5,77394890.33
2012-08-30,1655.6,77394887.57
2012-08-31,1691.85,77400541.4
2012-09-03,1692.33,77400535.57
2012-09-04,1695.88,77653221.35
2012-09-05,1692.93,77744763.08
2012-09-06,1700.33,77786441.37
2012-09-07,1735.85,77683329.13
2012-09-10,1726.06,77845668.22
2012-09-11,1731.88,78068538.46
2012-09-12,1730.75,78124576.28
2012-09-13,1767.12,78248269.41
2012-09-14,1770.5,78590572.84
2012-09-17,1761.25,78485897.85
2012-09-18,1771.31,79026347.77
2012-09-19,1770.3,79094211.21
2012-09-20,1768.53,79235927.35
2012-09-21,1773.1,79617837.37
2012-09-24,1764.4,80032701.6
2012-09-25,1760.64,80142171.37
2012-09-26,1752.75,79835073.09
2012-09-27,1777.38,79899886.31
2012-09-28,1772.25,79933013.26
2012-10-01,1775.43,80041893.59
2012-10-02,1774.57,80090963.59
2012-10-03,1777.88,80221745.41
2012-10-04,1790.15,80579815.51
2012-10-05,1780.7,80712077.27
2012-10-08,1774.55,80864393.85
2012-10-09,1764.2,81125059.85
2012-10-10,1762.29,81142424.7
2012-10-11,1767.18,81142814.5
2012-10-12,1754.03,81136108.67
2012-10-15,1737.4,80958692.76
2012-10-16,1747.47,80958354.78
2012-10-17,1750.15,81016720.7
2012-10-18,1741.4,81056566.21
2012-10-19,1721.75,81099475.52
2012-10-22,1728.6,81099469.04
2012-10-23,1707.63,81099466.78
2012-10-24,1702.04,81181135.99
2012-10-25,1712.1,81201934.28
2012-10-26,1711.2,81211795.22
2012-10-29,1709.25,81211789.13
2012-10-30,1709.6,81292234.23
2012-10-31,1720.65,81296422.54
2012-11-01,1714.2,81302648.72
2012-11-02,1678.0,81337410.54
2012-11-05,1684.97,81210787.47
2012-11-06,1716.0,81280617.53
2012-11-07,1717.55,81417088.23
2012-11-08,1731.4,81549261.87
2012-11-09,1731.07,81503341.05
2012-11-12,1728.2,81503334.26
2012-11-13,1724.95,81544931.81
2012-11-14,1726.5,81529449.86
2012-11-15,1715.75,81667608.51
2012-11-16,1713.72,81796366.23
2012-11-19,1731.72,81812904.52
2012-11-20,1727.05,81842420.03
2012-11-21,1728.69,81854777.91
2012-11-22,1729.55,81854776.55
2012-11-23,1753.0,81701521.85
2012-11-26,1748.7,81908016.47
2012-11-27,1742.09,82071838.05
2012-11-28,1719.69,82186968.68
2012-11-29,1725.74,82300942.19
2012-11-30,1714.98,82374573.03
2012-12-03,1715.96,82429893.38
2012-12-04,1697.59,82545306.41
2012-12-05,1693.9,82563136.52
2012-12-06,1699.88,82556270.25
2012-12-07,1704.07,82616124.56
2012-12-10,1713.11,82618589.98
2012-12-11,1709.95,82556756.1
2012-12-12,1711.71,82513570.34
2012-12-13,1697.1,82639568.12
2012-12-14,1696.15,82663206.25
2012-12-17,1698.32,82647199.87
2012-12-18,1671.23,82683255.39
2012-12-19,1667.18,82694876.28
