,usd_exposure,eur_exposure,gbp_exposure,jpy_exposure,emfx_exposure,fi_exposure,dmequity_exposure,emequity_exposure,com_exposure,ags_exposure
2015-04-28,41.22779616117102,-19.68631400134543,3.1489565766841405,0.2865697161403433,-6.129854162158771,149.91838235274594,87.60747957486562,41.8857536997589,-69.15244536735328,-32.447117828159314
2015-04-29,31.713473615994754,-19.68631400134543,7.231188749534229,-4.338949714722812,-3.277410102876263,164.67180130114107,95.09230149916938,41.8857536997589,-63.8430170903193,-32.447117828159314
2015-04-30,24.68146207312278,-12.654302458473458,7.231188749534229,-4.338949714722812,-4.626190880642209,103.05423818302573,93.03810446409415,45.401311006837275,-65.83482346242772,-29.57374213379697
2015-05-01,24.68146207312278,-6.849417793703537,7.231188749534229,-9.043104110687798,-3.748780262099348,96.32021847355983,93.03810446409415,45.401311006837275,-52.45381377669211,-30.601145871123514
2015-05-04,24.68146207312278,-6.849417793703537,7.231188749534229,-9.043104110687798,-5.348946612443259,75.4272025262509,93.03810446409415,45.401311006837275,-52.45381377669211,-30.601145871123514
2015-05-05,24.68146207312278,-6.849417793703537,7.231188749534229,-9.043104110687798,-5.348946612443259,60.67378357785576,96.39633335061934,45.401311006837275,-47.3875585718293,-30.601145871123514
2015-05-06,24.68146207312278,-6.849417793703537,7.231188749534229,-9.043104110687798,-5.348946612443259,48.26470269329308,98.64373809968761,41.33585412567842,-44.99610297525528,-30.601145871123514
2015-05-07,24.68146207312278,-2.1641279328802403,6.541813581970021,-11.28678920603107,-8.192638334513326,40.9909780601117,91.78436602392054,41.33585412567842,-44.99610297525528,-30.601145871123514
2015-05-08,20.72125247580549,-2.1641279328802403,5.003017786265041,-12.693929357482189,-8.192638334513326,33.77118178374722,91.99430747481522,34.624657214828424,-44.99610297525528,-30.601145871123514
2015-05-11,20.72125247580549,-3.8066345545267057,8.223606780068799,-12.693929357482189,-9.651734232931393,33.77118178374722,90.23006415869796,34.624657214828424,-46.08383884533125,-30.601145871123514
2015-05-12,20.72125247580549,-3.8066345545267057,10.56499009549537,-15.03531267290876,-11.221954106716623,60.05708674342628,90.23006415869796,34.624657214828424,-49.28370885574675,-30.601145871123514
2015-05-13,23.98809533640699,-3.8066345545267057,10.56499009549537,-16.077670580672514,-22.151000043776826,50.993628167391165,90.23006415869796,31.666712421579795,-45.96073949978212,-30.601145871123514
2015-05-14,22.659078980074682,-3.8066345545267057,10.56499009549537,-16.077670580672514,-24.464899541575246,50.993628167391165,90.23006415869796,31.666712421579795,-44.18453650022373,-35.00438136524757
2015-05-15,22.659078980074682,-3.8066345545267057,10.56499009549537,-16.077670580672514,-22.44742856103123,57.10311940307922,90.23006415869796,31.666712421579795,-42.864967520458755,-33.61450361660831
2015-05-18,22.659078980074682,-3.8066345545267057,10.56499009549537,-16.077670580672514,-22.44742856103123,65.03403187273011,92.29910400667666,34.872534590239155,-38.80734906464958,-33.61450361660831
2015-05-19,22.659078980074682,-5.468641658716061,10.56499009549537,-16.077670580672514,-22.44742856103123,65.03403187273011,92.29910400667666,32.356707159581724,-41.955284629457964,-27.57900965217799
2015-05-20,22.659078980074682,-5.468641658716061,10.56499009549537,-16.077670580672514,-22.44742856103123,65.03403187273011,89.47745818937113,32.356707159581724,-49.22864753100378,-27.57900965217799
2015-05-21,22.659078980074682,-5.468641658716061,10.56499009549537,-16.077670580672514,-24.649758241226525,65.03403187273011,89.47745818937113,32.356707159581724,-51.86499401913248,-27.57900965217799
2015-05-22,24.249192849301373,-5.468641658716061,12.778454393256995,-16.077670580672514,-26.24429564212182,65.03403187273011,89.47745818937113,32.356707159581724,-50.412331326408136,-27.57900965217799
2015-05-25,24.249192849301373,-5.468641658716061,12.778454393256995,-16.077670580672514,-26.24429564212182,65.03403187273011,91.8022005564275,32.356707159581724,-52.704704892579564,-27.57900965217799
2015-05-26,24.249192849301373,-5.468641658716061,12.778454393256995,-16.077670580672514,-29.6227123417036,65.03403187273011,91.8022005564275,37.72940813619002,-52.704704892579564,-27.57900965217799
2015-05-27,24.249192849301373,-7.246551396036031,12.778454393256995,-16.077670580672514,-29.6227123417036,65.03403187273011,94.14024127744493,34.81436349371244,-52.704704892579564,-27.57900965217799
2015-05-28,18.028743331967064,-7.246551396036031,14.347233558277432,-9.857221063338203,-29.6227123417036,65.03403187273011,94.14024127744493,29.85025241363379,-52.704704892579564,-27.57900965217799
2015-05-29,19.71056453091217,-5.6199282347322495,14.347233558277432,-9.857221063338203,-29.6227123417036,65.03403187273011,94.14024127744493,24.911791807196796,-52.704704892579564,-27.57900965217799
2015-06-01,19.71056453091217,-5.6199282347322495,14.347233558277432,-9.857221063338203,-31.23414378387316,65.03403187273011,90.79195100701278,18.64393811516594,-52.704704892579564,-27.57900965217799
2015-06-02,19.71056453091217,-5.6199282347322495,14.347233558277432,-11.184649478180653,-32.89965087239055,65.03403187273011,90.79195100701278,18.64393811516594,-52.704704892579564,-23.323928592028125
2015-06-03,19.71056453091217,-5.6199282347322495,14.347233558277432,-11.184649478180653,-34.160431087526725,65.03403187273011,90.79195100701278,16.026291897917694,-52.704704892579564,-16.582974170560394
2015-06-04,19.71056453091217,-4.0984843584079655,14.347233558277432,-11.184649478180653,-42.518352689620535,42.53188511176372,90.79195100701278,16.026291897917694,-58.377322719694824,-16.582974170560394
2015-06-05,19.71056453091217,-1.1200338414269337,13.780797321593806,-11.184649478180653,-47.28253506480385,38.72228984140176,86.64887694972813,9.80786968198352,-58.377322719694824,-16.582974170560394
2015-06-08,19.71056453091217,-1.1200338414269337,13.780797321593806,-11.184649478180653,-47.28253506480385,38.72228984140176,84.66750788030646,7.537803846036708,-65.16409101582923,-12.051403657705585
2015-06-09,19.71056453091217,-1.1200338414269337,13.780797321593806,-11.184649478180653,-51.844832853371486,38.72228984140176,70.06069540329791,6.58023234639866,-65.16409101582923,-14.556140151143987
2015-06-10,21.92302687017084,0.16115789490189333,13.780797321593806,-13.397111817439324,-51.844832853371486,13.742057732551975,68.39904998670444,6.58023234639866,-68.30697449060257,-14.556140151143987
2015-06-11,23.455383686695864,0.16115789490189333,13.780797321593806,-13.397111817439324,-51.844832853371486,9.738999392608806,68.39904998670444,4.768476509149941,-70.62020856861521,-14.556140151143987
2015-06-12,22.191610813957354,0.16115789490189333,16.111811452275933,-13.397111817439324,-53.764933236598,9.738999392608806,54.47928457884618,4.768476509149941,-70.62020856861521,-14.556140151143987
2015-06-15,22.191610813957354,0.16115789490189333,17.24182237958473,-13.397111817439324,-55.124960025041204,9.738999392608806,54.47928457884618,4.768476509149941,-79.24913081927333,-14.556140151143987
2015-06-16,22.191610813957354,0.16115789490189333,17.24182237958473,-13.397111817439324,-56.7144048644916,9.738999392608806,51.26387264391884,2.6374264038522623,-79.24913081927333,-14.556140151143987
